id;pt;en
KEY_FINISH_TITLE;Você concluiu a demo do Petria!;You completed Petria!
KEY_THANK_YOU;Obrigada por jogar meu joguinho <3;Thanks for playing my little game <3
KEY_TIME;Tempo:;Time:
KEY_ATTEMPTS;Tentativas:;Attempts:
KEY_BACK;Voltar;Back
KEY_CRYSTALS;Cristais: %s;Crystals: %s
KEY_STATUES;Estátuas: %s;Statues: %s
KEY_VITALITY;Vitalidade: %s;Vitality: %s
KEY_RESTART;REINICIAR;RESTART
KEY_PETRIFY;PETRIFICAR;PETRIFY
KEY_DRAG_TO_MOVE;Arraste para mover;Drag to move
KEY_SETTINGS;Configurações;Settings
KEY_DISABLE_MUSIC;Desativar música;Disable music
KEY_DISABLE_SFX;Desativar efeitos sonoros;Disable sound effects
KEY_CONTROLS_TITLE;Controles:;Controls:
KEY_ACTION_MOVE;Movimentação:;Movement:
KEY_ACTION_JUMP;Pular:;Jump:
KEY_ACTION_PETRIFY;Petrificar:;Petrify:
KEY_ACTION_RESTART;Reiniciar fase:;Restart level:
KEY_ACTION_MENU;Menu:;Menu:
KEY_START;Pressione qualquer tecla para iniciar;Press any key to start
KEY_EXIT;SAIR;EXIT
